,Stock,Name,전화번호/0A1090,중분류/0A1132,PER(FY End)/0D2103,Dividend Yield(FY End)/0D2153,PBR(FY End)/0D2123,기말주가/0D1133,유동자산(계)/012000,유동부채(계)/016000,부채비율/093060,유동비율/193020,자기자본순이익율/092070,매출액/121000,재고자산회전율1/194080,매출채권회전율/194120,EBITDA/0D2010,주당순이익/0D2001,주당순이익/0D2001.1,PCR(FY End)/0D2133,매출액증가율/091060,영업이익(손실)/125000,Final Grade,Environment,Social,Governance
10,54950.0,제이브이엠,053-584-9999,C29000/기타 기계 및 장비 제조업,46.55612244897,0.0,1.58554194257,18250.0,70783409000.0,30601994000.0,22.03,231.3,6.33,44700939000.0,4.86,3.81,7148996000.0,681,392,21.32407926715,-16.02,4724598000.0,10,10,10,10
11,54300.0,팬스타엔터프라이즈,1577-3520,C29000/기타 기계 및 장비 제조업,198.4,0.0,1.4495930326,992.0,27095374000.0,22143681000.0,88.45,122.36,1.44,21274448000.0,14.29,2.51,891189000.0,-123,5,1033.3333333333,33.22,-417584000.0,11,11,11,11
12,96350.0,대창솔루션,051-899-5555,C25000/금속가공제품 제조업;기계 및 가구 제외,,0.0,3.45986368799,731.0,20542620000.0,42972866000.0,159.79,47.8,-11.75,13254463000.0,2.9,5.0,-1316143000.0,-168,-14,,-16.47,-2123123000.0,12,12,12,12
13,52020.0,에스티큐브,02-551-3370,G46000/도매 및 상품중개업,,0.0,7.12581542632,8990.0,30381519000.0,4214008000.0,19.77,720.96,-33.95,4327513000.0,16.95,5.27,-5244411000.0,-356,-232,,-37.46,-5398365000.0,C,D,C,B+
14,37330.0,인지디스플레이,031-491-9771,"C26000/전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",32.40566037735,0.0,1.10169600246,3435.0,63409508000.0,152786306000.0,124.86,41.5,6.52,136922863000.0,24.76,9.26,1375428000.0,164,106,33.32686523721,7.08,1375428000.0,14,14,14,14
15,32080.0,아즈텍더블유비이,051-202-3101,C13000/섬유제품 제조업; 의복제외,127.27272727272,0.0,0.61485219392,2800.0,48866412000.0,25249371000.0,29.86,193.54,0.93,13057046000.0,1.22,2.85,-1552848000.0,173,22,8.31057817879,-10.13,-2154190000.0,15,15,15,15
16,32980.0,바이온,043-213-2722,G46000/도매 및 상품중개업,,0.0,2.35125073476,1440.0,22086953000.0,11163664000.0,30.63,197.85,-16.87,4458184000.0,32.06,1.42,-2667578000.0,-191,-51,,-39.14,-2787321000.0,16,16,16,16
17,65950.0,웰크론,02-2107-6600,C13000/섬유제품 제조업; 의복제외,23.1797235023,0.0,1.78306197469,5030.0,45839581000.0,35538600000.0,68.08,128.99,15.46,53187156000.0,7.68,8.71,9175899000.0,396,217,19.77434445885,4.03,7365295000.0,17,17,17,17
18,44820.0,코스맥스비티아이,031-789-3300,M71000/전문서비스업,45.73732718894,0.0,0.72513614111,19850.0,67863506000.0,137558189000.0,78.06,49.33,3.12,42638322000.0,17.36,3.82,,408,434,78.86686002622,13.32,6952407000.0,C,C,C,B+
19,44060.0,조광아이엘아이,055-360-0200,C29000/기타 기계 및 장비 제조업,1044.4444444444,0.0,1.48898153662,9400.0,48928880000.0,39978621000.0,47.04,122.39,0.29,15370899000.0,3.16,3.44,2435015000.0,-286,9,102.99112523282,-8.64,2009059000.0,19,19,19,19
20,38340.0,유씨아이,02-3438-6900,P85000/교육 서비스업,,0.0,0.79893714429,445.0,32598544000.0,22856852000.0,110.78,142.62,-49.59,2947243000.0,5.14,1.06,-1448583000.0,-386,-161,,-38.88,-1863020000.0,20,20,20,20
21,89980.0,상아프론테크,032-451-7781,C22000/고무제품 및 플라스틱제품 제조업,175.0,0.0,4.70476826759,46900.0,117065123000.0,39978366000.0,63.81,292.82,5.29,62466544000.0,6.06,3.93,8980259000.0,152,268,104.87946688134,15.39,5516276000.0,21,21,21,21
22,43710.0,서울리거,02-2138-5281,G46000/도매 및 상품중개업,91.42857142857,0.0,1.52013586214,1280.0,32717168000.0,15309951000.0,47.38,213.7,3.33,7245979000.0,4.05,1.11,6433005000.0,-737,14,4.11602032285,-36.41,6215740000.0,22,22,22,22
23,131220.0,대한과학,033-737-7500,G46000/도매 및 상품중개업,81.65680473372,0.0,3.56682234898,13800.0,20144591000.0,7282147000.0,27.9,276.63,8.72,19989507000.0,3.2,8.42,1794414000.0,155,169,,-2.29,1248894000.0,23,23,23,23
24,36690.0,코맥스,031-731-8791-5,"C26000/전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,0.0,2.42263673576,10150.0,65702441000.0,35779954000.0,64.08,183.63,-22.5,62528199000.0,3.88,2.94,-5895327000.0,167,-506,,13.8,-7209758000.0,24,24,24,24
25,23810.0,인팩,02-3432-3333,C30000/자동차 및 트레일러 제조업,36.62674650698,0.0,2.07700187326,18350.0,68345272000.0,75562172000.0,106.02,90.45,10.93,97985717000.0,16.17,4.58,5662738000.0,759,501,30.90422217356,26.24,1539969000.0,B+,B+,A,B+
26,119500.0,포메탈,041-670-6200,C25000/금속가공제품 제조업;기계 및 가구 제외,63.53658536585,0.0,1.34145242478,5210.0,22727851000.0,19166411000.0,47.48,118.58,4.23,30241675000.0,9.26,5.46,2191172000.0,149,82,231.34991119005,11.68,1016451000.0,26,26,26,26
27,49950.0,미래컴퍼니,031-350-9999,C29000/기타 기계 및 장비 제조업,107.09570957095,0.0,2.96289397587,32450.0,72748472000.0,32901487000.0,37.31,221.11,4.81,60063199000.0,5.72,4.99,1922680000.0,-2038,303,,263.6,366449000.0,C,D,C,B
28,25530.0,에스제이엠홀딩스,031-490-3859,G45000/자동차 및 부품 판매업,15.96273291925,0.0,0.50436412342,5140.0,15779282000.0,12366007000.0,8.83,127.6,5.82,5182566000.0,,,4283354000.0,182,322,178.65832464372,78.75,4149605000.0,B+,B,B+,A
29,37460.0,삼지전자,031-5187-8000,"C26000/전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",31.12798264642,0.0,1.5964328903,14350.0,62004994000.0,41345256000.0,53.36,149.97,9.77,12506820000.0,1.43,5.52,-1268742000.0,702,461,,-73.41,-1993001000.0,29,29,29,29
30,56700.0,신화인터텍,041-590-3300,C22000/고무제품 및 플라스틱제품 제조업,91.62790697674,0.0,1.25332815884,3940.0,69483620000.0,72003479000.0,80.17,96.5,2.62,108144522000.0,6.72,8.98,6080441000.0,155,43,,0.12,1319284000.0,B,D,B,B+
31,37030.0,파워넷,02-3282-0700,C28000/전기장비 제조업,46.12903225806,0.0,1.27911839224,5720.0,91936834000.0,46361041000.0,108.15,198.31,5.56,98794203000.0,7.54,8.25,5489439000.0,1,124,,60.6,4611333000.0,31,31,31,31
32,33050.0,제이엠아이,031-376-9494,C18000/인쇄 및 기록매체 복제업,145.0,0.0,1.47716853826,1885.0,18905088000.0,2899375000.0,17.06,652.04,2.04,6879628000.0,11.03,3.28,182520000.0,-249,13,68.64530225782,8.77,-250404000.0,32,32,32,32
33,41930.0,동아화성,055-313-1800,C22000/고무제품 및 플라스틱제품 제조업,37.34177215189,0.0,1.94684261724,14750.0,82478334000.0,38039970000.0,34.75,216.82,11.34,64639108000.0,18.14,2.47,7314916000.0,616,395,,18.69,5364434000.0,33,33,33,33
34,43340.0,에쎈테크,063-440-6500,C29000/기타 기계 및 장비 제조업,,0.0,4.01200630033,1350.0,30716722000.0,26715821000.0,221.97,114.98,-15.55,27807425000.0,3.75,4.55,-571698000.0,-5,-28,190.67796610169,9.86,-1624986000.0,34,34,34,34
35,29960.0,코엔텍,052-228-7300,"E38000/폐기물 수집운반, 처리 및 원료재생업",39.83805668016,0.0,3.57742730624,9840.0,77842677000.0,16588993000.0,28.37,469.24,16.96,33790126000.0,1229.4,8.64,19375594000.0,513,247,26.94856767267,-8.75,15337190000.0,B,C,C,B+
36,37230.0,한국팩키지,031-365-8600,"C17000/펄프, 종이 및 종이제품 제조업",432.85714285714,0.0,3.44700093853,6060.0,30244085000.0,30917441000.0,88.97,97.82,1.55,28068383000.0,5.54,6.02,967372000.0,93,14,118.40562719812,1.24,152148000.0,36,36,36,36
37,32540.0,티제이미디어,02-3663-4700,"C26000/전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",107.6,0.0,1.00142395785,5380.0,28649833000.0,15449198000.0,39.15,185.45,1.82,23969230000.0,3.37,19.7,2122281000.0,-198,50,32.76292552219,-22.12,871352000.0,37,37,37,37
38,40300.0,와이티엔,02-398-8000,J60000/방송업,69.56140350877,0.0,0.95314332967,3965.0,60821580000.0,17711356000.0,54.25,343.4,2.5,60375289000.0,340.61,3.63,2325765000.0,186,57,15.04858053742,11.36,-72256000.0,38,38,38,38
39,60480.0,국일신동,031-499-9192,C24000/1차 금속 제조업,92.72727272727,0.0,1.19446890633,5100.0,19473293000.0,1523533000.0,10.92,1278.17,2.6,13555929000.0,3.46,3.29,1077129000.0,8,55,626.53562653562,15.15,763404000.0,39,39,39,39
40,85670.0,뉴프렉스,031-494-9325,"C26000/전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,0.0,1.16734665572,2020.0,52995117000.0,62594249000.0,179.02,84.66,-10.13,67280703000.0,13.73,5.24,-1446614000.0,-578,-91,,-1.07,-3667216000.0,40,40,40,40
41,88910.0,동우팜투테이블,063-450-2000,C10000/식료품 제조업,52.07142857142,0.0,0.50011868385,3645.0,104276275000.0,27176961000.0,52.21,383.69,1.91,142358859000.0,17.84,14.57,-1266433000.0,-109,70,47.08085765951,5.53,-2918541000.0,41,41,41,41
42,32300.0,한국파마,031-353-7291-3,C21000/의료용 물질 및 의약품 제조업,163.94984326018,0.0,12.04286615609,52300.0,48654852000.0,27825855000.0,65.12,174.85,14.47,38041906000.0,3.89,4.53,3586220000.0,324,319,162.76608987924,,2455454000.0,42,42,42,42
43,11080.0,형지아이앤씨,02-2107-6500,"C14000/의복, 의복액세서리 및 모피제품 제조업",,0.0,4.97431738307,1840.0,49409885000.0,26357345000.0,334.08,187.46,-15.38,32681262000.0,2.64,8.43,269082000.0,-173,-30,554.21686746987,-6.01,-327453000.0,43,43,43,43
44,28100.0,동아지질,051-580-5500,F42000/전문직별 공사업,73.5197368421,0.0,1.30347149159,22350.0,251612152000.0,148127918000.0,75.81,169.86,3.52,150879351000.0,63.05,2.81,11267087000.0,209,304,15.98186576662,-5.37,1734924000.0,C,D,C,B+
45,39860.0,나노엔텍,02-6220-7728,"C27000/의료, 정밀, 광학기기 및 시계 제조업",43.1862745098,0.0,4.59133951418,8810.0,38731235000.0,4191707000.0,12.61,924.0,21.09,18319717000.0,4.6,2.28,4703810000.0,98,204,,59.4,3465801000.0,C,C,C,B
46,200780.0,비씨월드제약,031-881-6800,C21000/의료용 물질 및 의약품 제조업,51.34328358208,0.0,1.4805824198,17200.0,52384132000.0,39509827000.0,59.81,132.59,5.49,30206138000.0,2.4,4.11,4462515000.0,718,335,,3.03,2665241000.0,46,46,46,46
47,41440.0,현대에버다임,1588-0758,C29000/기타 기계 및 장비 제조업,664.54545454545,0.0,0.77705528998,7310.0,170742833000.0,70260431000.0,43.88,243.01,0.23,117000260000.0,2.77,3.03,1627616000.0,-865,11,,18.43,96817000.0,47,47,47,47
48,243840.0,신흥에스이씨,031-378-8141,C28000/전기장비 제조업,92.73356401384,0.0,3.02158232825,53600.0,90483698000.0,92690689000.0,87.5,97.62,6.73,82769855000.0,13.89,6.66,11644899000.0,691,578,,21.86,5634461000.0,48,48,48,48
49,60240.0,룽투코리아,031-8068-6601,J58000/출판업,,0.0,2.80791320995,6820.0,46887574000.0,3833231000.0,6.19,1223.19,-24.27,18866716000.0,,6.12,-1149140000.0,133,-364,,-16.66,-1737309000.0,49,49,49,49
50,32800.0,판타지오,02-3452-6100,"R90000/창작, 예술 및 여가관련 서비스업",,0.0,1.82021842621,130.0,30337078000.0,3823389000.0,11.44,793.46,-27.39,4355002000.0,29.03,7.16,8243000.0,-131,-12,,-25.34,-411935000.0,50,50,50,50
51,66620.0,국보디자인,02-6220-1800,F42000/전문직별 공사업,18.83439943141,0.0,1.29693434086,26500.0,85249805000.0,86184337000.0,59.58,98.92,12.59,144163156000.0,,7.37,12720115000.0,2128,1407,17.48136420608,15.78,12720115000.0,51,51,51,51
52,43650.0,국순당,033-340-4300,C11000/음료 제조업,16.39774859287,0.0,0.73234413806,8740.0,72874197000.0,8364624000.0,7.22,871.22,7.87,28740438000.0,5.37,5.76,5397269000.0,974,533,35.91387245233,22.31,4192399000.0,52,52,52,52
53,53080.0,원방테크,043-877-1631,C29000/기타 기계 및 장비 제조업,133.3827893175,0.0,1.61455781589,44950.0,50968642000.0,16000162000.0,16.21,318.55,2.35,46053306000.0,120.6,3.81,2646734000.0,1872,337,,-52.29,1646144000.0,53,53,53,53
54,81580.0,성우전자,031-362-3100,"C26000/전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,0.0,0.73173356289,3400.0,41991485000.0,3041010000.0,4.7,1380.84,-6.79,11136635000.0,22.91,10.54,219863000.0,91,-168,64.32084752175,-9.1,-10397000.0,54,54,54,54
55,30350.0,드래곤플라이,02-522-9393,J58000/출판업,,0.0,7.52901307586,2355.0,8975050000.0,25657071000.0,453.82,34.98,-44.71,1872603000.0,,8.38,-356129000.0,-517,-84,,-19.6,-636337000.0,55,55,55,55
56,50120.0,ES큐브,02-3446-4872,G46000/도매 및 상품중개업,84.48717948717,0.0,1.23578796953,6590.0,11434055000.0,13251289000.0,19.32,86.29,2.85,20682557000.0,119.13,12.24,1533233000.0,-27650,78,,20.18,1444721000.0,56,56,56,56
57,73190.0,듀오백,032-816-4814,C32000/가구 제조업,,0.0,2.040477696,4550.0,13304117000.0,4194742000.0,16.98,317.16,-7.39,21207901000.0,8.44,9.8,-433107000.0,71,-92,,-8.93,-1074059000.0,57,57,57,57
58,290670.0,대보마그네틱,031-354-3960,C28000/전기장비 제조업,139.43089430894,0.0,5.16867511637,34300.0,41315459000.0,16965089000.0,34.79,243.53,7.45,14170557000.0,3.35,9.78,2114985000.0,-178,246,,44.28,2114985000.0,58,58,58,58
59,31820.0,콤텍시스템,02-3289-0114,"J62000/컴퓨터 프로그래밍, 시스템 통합 및 관리업",,0.0,1.02647134014,1325.0,76542940000.0,38534755000.0,46.48,198.63,-3.75,61760562000.0,9.82,3.9,-2577320000.0,15,-27,,-21.33,-3301250000.0,,,,A+
60,65560.0,녹원씨엔아이,031-958-2500,C18000/인쇄 및 기록매체 복제업,,0.0,3.92749450354,5770.0,26303490000.0,41755750000.0,87.35,62.99,-28.89,8714548000.0,7.65,1.75,-1243650000.0,-895,-474,,0.61,-1612148000.0,60,60,60,60
61,42040.0,케이피엠테크,031-489-4100,C20000/화학물질 및 화학제품 제조업;의약품 제외,,0.0,3.31365157732,2980.0,52012935000.0,27161261000.0,23.21,191.5,-4.04,19005388000.0,8.73,2.99,-5392204000.0,-137,-18,227.13414634146,55.4,-5667545000.0,61,61,61,61
62,54670.0,대한뉴팜,031-353-6141-5,C21000/의료용 물질 및 의약품 제조업,17.90220820189,0.0,2.47248677709,11350.0,75416554000.0,45980643000.0,123.03,164.02,28.84,83751396000.0,10.4,4.44,15367281000.0,-707,634,19.31618986027,12.8,13861422000.0,62,62,62,62
63,36640.0,에이치알에스,031-655-8822,C20000/화학물질 및 화학제품 제조업;의약품 제외,8.22622107969,0.0,1.15166325366,6400.0,40598175000.0,14403138000.0,17.42,281.87,28.72,36550703000.0,4.57,6.02,7580630000.0,602,778,54.23269214473,21.21,6919722000.0,63,63,63,63
64,49520.0,유아이엘,031-948-1234,"C26000/전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,0.0,0.99704261106,4285.0,54276389000.0,20953571000.0,22.89,259.03,-15.56,16854766000.0,15.5,1.87,-3636712000.0,312,-365,,-30.87,-4893805000.0,64,64,64,64
65,66590.0,우수AMS,055-274-5011-5,C30000/자동차 및 트레일러 제조업,100.16129032258,0.0,2.31131689233,6210.0,81434959000.0,98116810000.0,108.77,83.0,4.68,108030719000.0,20.37,7.73,1997870000.0,-110,62,56.53163404642,29.69,1997870000.0,65,65,65,65
66,53030.0,바이넥스,032-850-3236,C21000/의료용 물질 및 의약품 제조업,66.45962732919,0.0,3.81544649638,21400.0,86921484000.0,17783229000.0,41.9,488.78,11.24,61218837000.0,6.28,4.05,7322047000.0,221,322,57.30965962347,-6.04,4311608000.0,66,66,66,66
67,38880.0,아이에이,02-3015-1300,"C26000/전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",34.23076923076,0.0,3.11058297217,1335.0,38045958000.0,18268882000.0,19.44,208.26,18.98,23836265000.0,11.99,5.1,4351914000.0,42,39,168.13602015113,20.49,3759044000.0,67,67,67,67
68,54210.0,이랜텍,070-7098-8009,"C26000/전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",43.54430379746,0.0,1.24479375866,6880.0,125007571000.0,99575148000.0,82.48,125.54,5.6,104831938000.0,22.37,2.97,1413277000.0,-327,158,,98.7,555205000.0,68,68,68,68
69,41960.0,코미팜,031-498-6104,C21000/의료용 물질 및 의약품 제조업,365.0,0.0,9.38319422783,10950.0,59719222000.0,25473140000.0,56.85,234.44,5.18,19578007000.0,2.84,2.97,3321627000.0,2,30,189.24991358451,-4.57,1532173000.0,B+,C,A,A
70,45660.0,에이텍,031-698-8800,"C26000/전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",85.89743589743,0.0,3.60737647305,36850.0,49521100000.0,19310843000.0,24.7,256.44,8.25,31402047000.0,5.29,52.04,2340621000.0,1075,429,,-52.16,1711386000.0,70,70,70,70
71,293480.0,하나제약,031-366-5511-5,C21000/의료용 물질 및 의약품 제조업,27.19512195121,0.0,1.75925363467,22300.0,146274797000.0,34224254000.0,18.61,427.4,11.21,93053929000.0,5.53,5.15,19177082000.0,947,820,31.65455371337,11.35,16317950000.0,C,C,C,C
72,47560.0,이스트소프트,02-583-4620,J58000/출판업,,0.0,2.29411894776,12450.0,20735339000.0,35140758000.0,75.92,59.01,-5.77,14660365000.0,,5.51,1696496000.0,422,-170,,29.88,929879000.0,72,72,72,72
73,39030.0,이오테크닉스,031-422-2501,C29000/기타 기계 및 장비 제조업,41.5068015347,0.0,3.8433378,119000.0,260105647000.0,77891840000.0,20.18,333.93,18.9,179007386000.0,4.06,3.47,39989785000.0,2522,2867,,27.87,37711317000.0,B,B,C,B
74,214450.0,파마리서치,033-645-7640,C21000/의료용 물질 및 의약품 제조업,36.80981595092,0.0,3.3689569335,90000.0,120898382000.0,31965255000.0,12.81,378.22,18.4,65599984000.0,7.42,5.12,27836776000.0,3562,2445,35.03936088205,40.29,25179116000.0,74,74,74,74
75,56080.0,유진로봇,032-550-2300,C29000/기타 기계 및 장비 제조업,,0.0,4.25317704106,4140.0,32249041000.0,11311353000.0,50.58,285.1,-20.6,11397114000.0,6.14,7.3,-2749652000.0,-273,-108,,7.25,-3342647000.0,75,75,75,75
76,39130.0,하나투어,02-2127-1000,N75000/사업지원 서비스업,,0.0,14.70249719687,79200.0,194904650000.0,203578547000.0,193.97,95.74,-78.08,4819871000.0,17.17,0.58,-39679499000.0,-7619,-3886,,-93.0,-48852169000.0,B,D,B+,B+
77,40610.0,에스지엔지,02-2105-6300,C30000/자동차 및 트레일러 제조업,,0.0,1.12062073213,3420.0,9498597000.0,32269851000.0,45.37,29.43,-0.26,19881643000.0,16.07,4.79,1410501000.0,238,-4,56.53827078856,0.23,73879000.0,77,77,77,77
78,51390.0,와이더블유,031-703-7118,G46000/도매 및 상품중개업,33.37579617834,0.0,0.8221219847,5240.0,70762253000.0,13783456000.0,57.21,513.39,3.72,8821760000.0,72.48,9.44,1974272000.0,356,157,261.86906546726,1.8,1731993000.0,78,78,78,78
79,73110.0,엘엠에스,031-421-2345,"C26000/전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,0.0,1.25068923852,11500.0,99872493000.0,88497952000.0,133.9,112.85,-2.3,39622398000.0,4.64,2.28,375743000.0,-2806,-151,11.32369014445,-19.44,-2876238000.0,79,79,79,79
80,92600.0,앤씨앤,02-3460-4700,"C26000/전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",26.06145251396,0.0,1.66339811018,4665.0,55085549000.0,16057979000.0,81.79,343.04,12.99,42885395000.0,5.25,9.91,3335234000.0,-71,179,,20.81,2712183000.0,80,80,80,80
81,357550.0,석경에이티,031-493-0955,C20000/화학물질 및 화학제품 제조업;의약품 제외,100.49261083743,0.0,5.11677021437,20400.0,16029818000.0,4144776000.0,26.37,386.75,10.47,3971090000.0,3.7,8.85,1152813000.0,227,203,157.12855272279,,909057000.0,81,81,81,81
82,222980.0,한국맥널티,031-376-1383,C10000/식료품 제조업,,0.0,3.1223752533,10000.0,29003130000.0,13277364000.0,67.5,218.44,-0.15,16631431000.0,7.03,13.53,2766450000.0,421,-2,,-15.84,1552628000.0,82,82,82,82
83,27410.0,비지에프,1577-8007,M71000/전문서비스업,18.86685552407,0.0,0.43016975557,6660.0,381464285000.0,17871094000.0,3.04,2134.53,4.59,30070687000.0,,11.33,,232,353,33.22690081819,-25.88,18077135000.0,83,83,83,83
84,234080.0,제이더블유생명과학,041-351-7600,C21000/의료용 물질 및 의약품 제조업,25.86206896551,0.0,2.61874321812,19500.0,51384047000.0,73705413000.0,73.93,69.72,19.1,82264753000.0,10.54,5.3,21224234000.0,1010,754,18.31794312983,-8.38,14961274000.0,84,84,84,84
85,58400.0,케이엔엔,051-850-9000,J60000/방송업,60.88235294117,0.0,1.37160577267,2070.0,55529643000.0,9479428000.0,6.18,585.79,4.55,24066440000.0,,3.44,6551867000.0,45,34,22.92612692435,16.8,4433143000.0,85,85,85,85
86,46310.0,백금티앤에이,031-488-7900,"C26000/전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",47.54901960784,0.0,2.3416263923,4850.0,33913489000.0,23989690000.0,75.64,141.37,10.01,33281379000.0,174.64,4.21,1648144000.0,-485,102,28.38747439274,97.66,1362097000.0,86,86,86,86
87,131290.0,티에스이,041-581-9955,"C27000/의료, 정밀, 광학기기 및 시계 제조업",21.82495344506,0.0,3.16647042835,58600.0,121610887000.0,25702170000.0,16.31,473.15,28.88,106767451000.0,9.93,6.32,37429560000.0,2432,2685,35.86027953883,26.16,33094474000.0,87,87,87,87
88,290380.0,대유,02-556-6293,C20000/화학물질 및 화학제품 제조업;의약품 제외,23.18295739348,0.0,1.63370122518,9250.0,78397718000.0,34576372000.0,50.01,226.74,15.39,24248729000.0,6.29,3.89,8873153000.0,552,399,,5.67,8572765000.0,88,88,88,88
89,27050.0,코리아나화장품,041-560-9900,C20000/화학물질 및 화학제품 제조업;의약품 제외,65.13157894736,0.0,2.51391541055,4950.0,31266212000.0,21772449000.0,38.83,143.6,5.87,38445128000.0,6.9,6.05,2666322000.0,-14,76,31.1203319502,-5.03,648321000.0,89,89,89,89
90,50760.0,에스폴리텍,043-536-9191,C22000/고무제품 및 플라스틱제품 제조업,17.51724137931,0.0,1.21655957908,5080.0,69984767000.0,42704533000.0,70.21,163.88,13.43,57335876000.0,8.92,4.35,6483494000.0,482,290,7.47652547611,-10.88,4503836000.0,90,90,90,90
91,53290.0,엔이능률,02-2014-7114,J58000/출판업,700.0,0.0,5.41200062817,22400.0,72075828000.0,22072119000.0,33.3,326.55,1.44,35359431000.0,4.63,1.56,4402509000.0,68,32,48.00377172492,14.4,986302000.0,91,91,91,91
92,69140.0,누리플랜,031-997-9097,C25000/금속가공제품 제조업;기계 및 가구 제외,203.25581395348,0.0,1.87308057461,8740.0,15954426000.0,21551854000.0,80.2,74.03,1.78,20160986000.0,28.54,3.48,825699000.0,496,43,,10.99,377959000.0,92,92,92,92
93,61040.0,알에프텍,031-322-1114,"C26000/전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",34.30894308943,0.0,1.91639173408,8440.0,94089014000.0,30714598000.0,24.08,306.33,11.41,76009594000.0,33.25,6.99,3810260000.0,-2077,246,,59.38,3009674000.0,93,93,93,93
94,36620.0,감성코퍼레이션,02-3140-1000,G46000/도매 및 상품중개업,170.0,0.0,6.5671641791,1870.0,19113125000.0,9010669000.0,47.1,212.12,5.69,5626620000.0,2.33,3.45,412528000.0,17,11,890.47619047619,14.67,215170000.0,94,94,94,94
95,40160.0,누리플렉스,02-781-0700,J58000/출판업,121.11111111111,0.0,1.99465651648,10900.0,42385628000.0,35727681000.0,63.17,118.64,3.09,17260134000.0,3.36,2.54,458377000.0,-31,90,20.60140996805,-36.2,-118673000.0,95,95,95,95
